,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nooit Thuis",Boef,221838,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,203930,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",155073,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,150010,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
5,"Video Vixen","Bilal Wahib",140188,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
6,Kleur,Snelle,138158,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
7,"Breaking Me",Topic,136401,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,"ily (i love you baby) (feat. Emilee)","Surf Mesa",135401,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
9,"Blinding Lights","The Weeknd",132150,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Treinstation,Boef,131486,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
11,"Rain On Me (with Ariana Grande)","Lady Gaga",120331,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Watermelon Sugar","Harry Styles",115298,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,MAMACITA,"Black Eyed Peas",115150,https://open.spotify.com/track/2g1ukx0VolwI31t8z5vprw
14,"Break My Heart","Dua Lipa",112188,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,"Stuck with U (with Justin Bieber)","Ariana Grande",108053,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
16,Supalonely,BENEE,106098,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,103002,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
18,"Toosie Slide",Drake,99394,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
19,Gordelweg,Kevin,98582,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
20,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,96375,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,"Weg Van Jou","Suzan & Freek",92058,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
22,"Intentions (feat. Quavo)","Justin Bieber",89754,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
23,"Alleen Soms",Lijpe,88033,https://open.spotify.com/track/0vC6bkhlWhBNjP8CsuLL6n
24,"Het Is Al Laat Toch",Racoon,85230,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
25,"In Your Eyes","The Weeknd",84354,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
26,"Soldier On",DI-RECT,84318,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
27,"In Your Eyes (feat. Alida)","Robin Schulz",81810,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
28,"Jongen Van De Straat","Lil Kleine",81154,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
29,"Lose Somebody",Kygo,80930,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
30,"Rover (feat. DTG)",S1mba,80173,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
31,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",79384,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
32,"Wat Is Je Naam","Yxng Le",78780,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
