,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,232366,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Treinstation,Boef,212849,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
3,"Alleen Soms",Lijpe,193247,https://open.spotify.com/track/6TVwX7if0H49z7OeMpgavW
4,Kleur,Snelle,186379,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
5,"Roses - Imanbek Remix","SAINt JHN",180086,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,Gordelweg,Kevin,175563,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
7,"Video Vixen","Bilal Wahib",155743,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
8,"Blinding Lights","The Weeknd",155632,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"ily (i love you baby) (feat. Emilee)","Surf Mesa",149240,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
10,"Breaking Me",Topic,148114,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
11,"Rain On Me (with Ariana Grande)","Lady Gaga",135749,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Toosie Slide",Drake,129284,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
13,"Stuck with U (with Justin Bieber)","Ariana Grande",122141,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
14,"Mijn Story",Lijpe,119967,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
15,Supalonely,BENEE,117904,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"Break My Heart","Dua Lipa",116481,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
17,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,112344,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
18,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,110765,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",108981,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
20,"Het Is Al Laat Toch",Racoon,103763,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
21,"Weg Van Jou","Suzan & Freek",102937,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
22,"Intentions (feat. Quavo)","Justin Bieber",99429,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
23,"Jongen Van De Straat","Lil Kleine",99399,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
24,"Soldier On",DI-RECT,99198,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
25,Doorheen,Bizzey,94920,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
26,"Watermelon Sugar","Harry Styles",91989,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"Loop Niet Weg","Kris Kross Amsterdam",91880,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
28,"Wat Is Je Naam","Yxng Le",91518,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
29,"In Your Eyes (feat. Alida)","Robin Schulz",91091,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
30,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",88331,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
31,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",87986,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
32,"In Your Eyes","The Weeknd",85845,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
33,MAMACITA,"Black Eyed Peas",82225,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
34,"Lose Somebody",Kygo,80642,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
35,"Dance Monkey","Tones And I",78639,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
36,"Be Kind (with Halsey)",Marshmello,76937,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
37,Afrika,Chivv,72347,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
38,"Never Seen the Rain","Tones And I",71367,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
39,"Rode Wijn",Maan,70472,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
40,"Don't Start Now","Dua Lipa",69677,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"Before You Go","Lewis Capaldi",68743,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
42,"Blueberry Faygo","Lil Mosey",68603,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
43,"Roller Coaster","Danny Vera",67661,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
44,"Busje (feat. Chivv & Lauwtje)",Zefanio,66915,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
45,"Party Girl",StaySolidRocky,66097,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
46,GOOBA,6ix9ine,65118,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
47,"Say So","Doja Cat",63734,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
48,"Alone, Pt. II","Alan Walker",63111,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
49,"TKN (feat. Travis Scott)",ROSALÍA,61596,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
50,"Drown (feat. Clinton Kane)","Martin Garrix",61314,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
51,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,60016,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
52,Levensstijl,Spanker,59995,https://open.spotify.com/track/6qbaiaT9AXWGCqocFtpJHL
53,Underdog,"Alicia Keys",59914,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
54,"Someone You Loved","Lewis Capaldi",59407,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"Rover (feat. DTG)",S1mba,58598,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
56,"Nothing Really Matters",Tiësto,57707,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
57,A5,DODO,56813,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
58,Secrets,Regard,55641,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
59,Smoorverliefd,Snelle,55144,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
60,"Slapen Met Het Licht Aan",Tabitha,51997,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
61,"Waar Ga Je Heen","Emma Heesters",51560,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
62,"The Box","Roddy Ricch",51281,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
63,"Ride It",Regard,50508,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
64,Emotieloos,"Famke Louise",50434,https://open.spotify.com/track/4R876cN0Dx7fGPZMGnwwBq
65,"Hoe Het Danst","Marco Borsato",50261,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
66,"THE SCOTTS","THE SCOTTS",49999,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
67,Salt,"Ava Max",49055,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
68,Reünie,Snelle,48782,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
69,Downfall,"Jonna Fraser",48570,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
70,Changes,"Ilse DeLange",48502,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
71,"Como Tu","Rolf Sanchez",45916,https://open.spotify.com/track/4aA39M2dMcegHXYQ4Kq5MP
72,Physical,"Dua Lipa",44866,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
73,Memories,"Maroon 5",44214,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
74,"Someone Else","Duncan Laurence",43881,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
