,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,GOOBA,6ix9ine,51711,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
55,"Mijn Story",Lijpe,50862,https://open.spotify.com/track/2D0mZzm2KYzxhSI8pgfL7z
56,"Roller Coaster","Danny Vera",50854,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
57,"Someone You Loved","Lewis Capaldi",50118,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
58,"Rode Wijn",Maan,49567,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
59,"Never Seen the Rain","Tones And I",49104,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
60,Letters,"Lucas & Steve",48604,https://open.spotify.com/track/4FQHqppcx6WnsOqJ5QlOjH
61,"Alone, Pt. II","Alan Walker",48433,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
62,"Ride It",Regard,48260,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
63,Underdog,"Alicia Keys",47204,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
64,"Alles Of Niks",Lijpe,46845,https://open.spotify.com/track/3QNIVeU37soOx1RAcIzZCY
65,"Nothing Really Matters",Tiësto,46515,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
66,Changes,"Ilse DeLange",46034,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
67,Downfall,"Jonna Fraser",44785,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
68,Smoorverliefd,Snelle,44425,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
69,"Busje (feat. Chivv & Lauwtje)",Zefanio,44319,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
70,Kippen,Broederliefde,43559,https://open.spotify.com/track/4OGK7jK0Yq27VoMXAhGvIf
71,"The Box","Roddy Ricch",43054,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
72,"Hoe Het Danst","Marco Borsato",42236,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
73,Physical,"Dua Lipa",42058,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
74,"Say So","Doja Cat",41922,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
75,Afrika,Chivv,41618,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
76,"Someone Else","Duncan Laurence",39833,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
77,Señorita,"Shawn Mendes",39310,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
78,"2 Hearts (feat. Gia Koka)","Sam Feldt",39057,https://open.spotify.com/track/0EdgK7ASb4kfRkW8pVMN02
79,DomDoen,"Henkie T",38926,https://open.spotify.com/track/5vJpSCkDDqLE6bNF4cRqRG
80,"Kings & Queens","Ava Max",38689,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
81,"Sunday Best",Surfaces,38350,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
82,Vastberaden,Lijpe,37961,https://open.spotify.com/track/1Opl9f8vUkITqvpgAqF5xW
83,"THE SCOTTS","THE SCOTTS",37959,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
84,Reünie,Snelle,37772,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
85,Memories,"Maroon 5",37020,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
86,"Ur So F**kInG cOoL","Tones And I",36908,https://open.spotify.com/track/6KiEsqGg0HBOSMflVH7Onx
87,Feestje,Fmg,36587,https://open.spotify.com/track/2ueVHF9lPkLB1SkkybBbjQ
88,"WHATS POPPIN","Jack Harlow",36424,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
89,"Play Date","Melanie Martinez",36423,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
90,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",36393,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
91,Circles,"Post Malone",36295,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
92,Trouble,Chef'Special,36232,https://open.spotify.com/track/1dEeFAA7955dEhviWfLMqr
93,"Slapen Met Het Licht Aan",Tabitha,35419,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
94,"TROLLZ (with Nicki Minaj)",6ix9ine,35402,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
95,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",35372,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
96,"Higher Ground (feat. John Martin)","Martin Garrix",35156,https://open.spotify.com/track/0rohJsT6NWsThpukt0Xxdc
97,goosebumps,"Travis Scott",35106,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
98,"If the World Was Ending - feat. Julia Michaels","JP Saxe",35069,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
99,Venus,Frenna,35046,https://open.spotify.com/track/0yq0Hg6IzgaT0Tm91op97y
100,"I Don't Care (with Justin Bieber)","Ed Sheeran",33974,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
101,"Some Say - Felix Jaehn Remix",Nea,33704,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
102,"Adore You","Harry Styles",33700,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
103,Vliegen,"Bilal Wahib",33569,https://open.spotify.com/track/0cd6pOA7RQKKuvFQLMC4X7
104,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,33028,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
105,"Life Is Good (feat. Drake)",Future,32704,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
106,Falling,"Trevor Daniel",32697,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
107,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",32671,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
108,"Lose Control",MEDUZA,32179,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
109,"Ze Kent Mij",Snelle,31667,https://open.spotify.com/track/3BiBIgQFa8K4EOxisyhXX7
110,A5,DODO,31616,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
111,"3 Nights","Dominic Fike",31475,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
112,"Zij weet het - Studio Versie","Tino Martin",31200,https://open.spotify.com/track/0rwf08N6Fm5K57S7e7FJty
113,"Ze Huilt Maar Ze Lacht",Maan,31168,https://open.spotify.com/track/7eTIikMQRihr1GaSK9MzFl
114,"Niet Lief","Henkie T",31106,https://open.spotify.com/track/5JRzvKU4sHMjdqSj6a3R5y
115,"On The Low","Burna Boy",30960,https://open.spotify.com/track/1PoJXULCvl03b1fiZmMxmd
116,"Go Crazy","Chris Brown",30873,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
117,"FEEL THE BEAT","Black Eyed Peas",30813,https://open.spotify.com/track/2nfFzgqp18tzFWrUCxFHpo
118,"I’m Ready (with Demi Lovato)","Sam Smith",30806,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
119,"Sinds Klein",Nass,30542,https://open.spotify.com/track/74gXJpVM2Rj4vEWV8ghQ5l
120,"What A Man Gotta Do","Jonas Brothers",30418,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
121,Levensstijl,Spanker,30287,https://open.spotify.com/track/0kPlVNSLACzO9gXxGym1ZV
122,"Paper Zien","Yssi SB",30113,https://open.spotify.com/track/5S3cwAtM7A662xIilwGSjJ
123,"Blauwe Lichten",Lijpe,30010,https://open.spotify.com/track/6Rr3po787cDfLhUZVdLqbu
124,"Oeh Jij","Yxng Le",29741,https://open.spotify.com/track/0npxPWBoOOTuVZqhoEJVJk
125,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",29651,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
126,Magisch,"Yade Lauren",29405,https://open.spotify.com/track/7G7fGz8Wx3ilNnUYEDw0cR
127,"Level of Concern","Twenty One Pilots",29346,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
128,"Know Your Worth",Khalid,29313,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
129,ROXANNE,"Arizona Zervas",29137,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
130,Dior,"Pop Smoke",29117,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
131,"My Bébé","Bryan Mg",28860,https://open.spotify.com/track/56EJ7v1FPHJWvvU89flvpW
132,"Lucid Dreams","Juice WRLD",28756,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
133,"HIGHEST IN THE ROOM","Travis Scott",28272,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
134,"BELIEVE IT",PARTYNEXTDOOR,28209,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
135,Vandaan,"Lil Kleine",28207,https://open.spotify.com/track/7ua5ORSWsf8JOrcX6SJ9Ub
136,"Don't Call Me Up",Mabel,27939,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
137,"Blauwe Dag","Suzan & Freek",27931,https://open.spotify.com/track/0N1sqwppd1BwhNdjcIDEG2
138,"bad guy","Billie Eilish",27837,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
139,Nacht,"Kraantje Pappie",27669,https://open.spotify.com/track/06Wn0NldbOhwpKCsoTsUp7
140,Memories,Boef,27653,https://open.spotify.com/track/7muicvRPVglfHRtBHpSFqH
141,"Out Of Town (feat. KM, NAVI & Quincy Promes)",Ocs,27237,https://open.spotify.com/track/7BuV6kuGMUDAmx0tl9qfP5
142,"Higher Love",Kygo,27110,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
143,"Piece Of Your Heart",MEDUZA,27003,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
144,Lippenstift,"Marco Borsato",26944,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
145,"GO (feat. Juice WRLD)","The Kid LAROI",26629,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
146,Uncharted,Kensington,26273,https://open.spotify.com/track/1OJcaSbK9DBaxHExACplwA
147,"Como Tu","Rolf Sanchez",26134,https://open.spotify.com/track/4aA39M2dMcegHXYQ4Kq5MP
148,Sterrenstof,"De Jeugd Van Tegenwoordig",26014,https://open.spotify.com/track/7D5vAulNfrQV6xEwzgH0OF
149,Shallow,"Lady Gaga",25940,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
150,"Perfect (feat. Haris)","Lucas & Steve",25892,https://open.spotify.com/track/30cW9fD87IgbYFl8o0lUze
151,"Als Het Avond Is","Suzan & Freek",25845,https://open.spotify.com/track/1MWpdDDf3Yk0w6o4oviMFY
152,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",25654,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
153,"NAPIYON LAN",Murda,25568,https://open.spotify.com/track/42grBspOHbj3eWZTXV8TK2
154,"Paper Loving","DJ Nazil",25508,https://open.spotify.com/track/3NbtfbmjixJ2QJEKA0ORX1
155,"De Prijs",Lijpe,25496,https://open.spotify.com/track/5hptdpE5bqoTXufUrkgt18
156,POSITIE,Caza,25460,https://open.spotify.com/track/5dVXY5359o7XBmfoNCBMxg
157,Africa,TOTO,25414,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
158,"Zoutelande (feat. Geike)",BLØF,25408,https://open.spotify.com/track/7MOX3ibncypw3xGb4HZVFA
