,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Treinstation,Boef,231263,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,222195,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,Gordelweg,Kevin,185721,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
4,"Roses - Imanbek Remix","SAINt JHN",172242,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"Blinding Lights","The Weeknd",151194,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"ily (i love you baby) (feat. Emilee)","Surf Mesa",147703,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
7,"Video Vixen","Bilal Wahib",144643,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
8,"Breaking Me",Topic,142543,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"Mijn Story",Lijpe,134302,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
10,"Rain On Me (with Ariana Grande)","Lady Gaga",129714,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
11,"Toosie Slide",Drake,127886,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
12,Supalonely,BENEE,118152,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
13,"Stuck with U (with Justin Bieber)","Ariana Grande",116452,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
14,"Break My Heart","Dua Lipa",113620,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,104317,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
16,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,102111,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,Doorheen,Bizzey,99461,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
18,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",95132,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
19,"Intentions (feat. Quavo)","Justin Bieber",93403,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
20,"Het Is Al Laat Toch",Racoon,89427,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
21,"Jongen Van De Straat","Lil Kleine",87026,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
22,"In Your Eyes (feat. Alida)","Robin Schulz",85830,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
23,"Soldier On",DI-RECT,84407,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
24,"Watermelon Sugar","Harry Styles",84055,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
25,"Weg Van Jou","Suzan & Freek",82454,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
26,"Wat Is Je Naam","Yxng Le",82345,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
27,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",82101,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
28,"Loop Niet Weg","Kris Kross Amsterdam",79967,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
29,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",79439,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
30,"Lose Somebody",Kygo,77223,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
31,"In Your Eyes","The Weeknd",75159,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
32,"Be Kind (with Halsey)",Marshmello,72265,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
33,"Dance Monkey","Tones And I",71836,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
34,MAMACITA,"Black Eyed Peas",71377,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
35,Afrika,Chivv,69881,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
36,"This Is America","Childish Gambino",69565,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
37,"Say So","Doja Cat",68718,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
38,"Never Seen the Rain","Tones And I",68188,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
39,"Blueberry Faygo","Lil Mosey",67500,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
40,"Don't Start Now","Dua Lipa",67250,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"Busje (feat. Chivv & Lauwtje)",Zefanio,64967,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
42,"Before You Go","Lewis Capaldi",64523,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
43,GOOBA,6ix9ine,62320,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
44,"Alone, Pt. II","Alan Walker",61713,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
45,"TKN (feat. Travis Scott)",ROSALÍA,61124,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
46,"Rode Wijn",Maan,61042,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
47,"Ride It",Regard,59316,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
48,"Drown (feat. Clinton Kane)","Martin Garrix",58264,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
49,Underdog,"Alicia Keys",57569,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
50,"Roller Coaster","Danny Vera",56008,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
51,"Nothing Really Matters",Tiësto,53694,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
52,"THE SCOTTS","THE SCOTTS",52210,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
53,"Party Girl",StaySolidRocky,52107,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
54,"Someone You Loved","Lewis Capaldi",51207,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"Rover (feat. DTG)",S1mba,50613,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
56,"The Box","Roddy Ricch",49501,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
57,"Sour Candy (with BLACKPINK)","Lady Gaga",47854,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
58,"Slapen Met Het Licht Aan",Tabitha,47160,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
59,Downfall,"Jonna Fraser",46734,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
60,Smoorverliefd,Snelle,45698,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
61,"Perfect (feat. Haris)","Lucas & Steve",45224,https://open.spotify.com/track/30cW9fD87IgbYFl8o0lUze
62,"Niet Lief","Henkie T",44967,https://open.spotify.com/track/5JRzvKU4sHMjdqSj6a3R5y
63,"Know Your Worth",Khalid,44284,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
