,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,215639,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Roses - Imanbek Remix","SAINt JHN",161219,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
3,Treinstation,Boef,160438,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
4,"Video Vixen","Bilal Wahib",152784,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
5,"Blinding Lights","The Weeknd",145736,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,Kleur,Snelle,141959,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
7,"Breaking Me",Topic,141158,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,Gordelweg,Kevin,138008,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
9,"ily (i love you baby) (feat. Emilee)","Surf Mesa",136403,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
10,"Rain On Me (with Ariana Grande)","Lady Gaga",123051,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
11,"Stuck with U (with Justin Bieber)","Ariana Grande",114953,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
12,"Toosie Slide",Drake,112048,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
13,"Break My Heart","Dua Lipa",110164,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
14,Supalonely,BENEE,108732,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,"Alleen Soms",Lijpe,102807,https://open.spotify.com/track/6TVwX7if0H49z7OeMpgavW
16,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,102000,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,100553,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
18,"Weg Van Jou","Suzan & Freek",98547,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
19,"Watermelon Sugar","Harry Styles",96409,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"Het Is Al Laat Toch",Racoon,94996,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
21,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,94933,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
22,"Intentions (feat. Quavo)","Justin Bieber",92405,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
23,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",92210,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
24,"Soldier On",DI-RECT,91996,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
25,"Jongen Van De Straat","Lil Kleine",89281,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
26,MAMACITA,"Black Eyed Peas",86738,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
27,"In Your Eyes (feat. Alida)","Robin Schulz",84831,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
28,"Wat Is Je Naam","Yxng Le",84524,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
29,"In Your Eyes","The Weeknd",83321,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
30,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",82632,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
31,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",82164,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
