,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tigers,"Bilal Wahib",652184,https://open.spotify.com/track/7jnaow1bGpKO2VkgtYE8Vv
2,"Nooit Thuis",Boef,265697,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,234912,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,"Get It All (feat. Boef & Henkie T)","Bryan Mg",215333,https://open.spotify.com/track/6dLKeM6ypiRa5J09axUzvN
5,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,197087,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
6,"Video Vixen","Bilal Wahib",194094,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
7,"Vakantie (with Jonna Fraser)",Dopebwoy,189493,https://open.spotify.com/track/2sE0IOF0pCl7hd4pi5QpgI
8,"Roses - Imanbek Remix","SAINt JHN",172236,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,Kleur,Snelle,171694,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
10,MAMACITA,"Black Eyed Peas",154727,https://open.spotify.com/track/04YutdH0j1INpsva3gOipt
11,"Breaking Me",Topic,152757,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,"ily (i love you baby) (feat. Emilee)","Surf Mesa",148931,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
13,"Blinding Lights","The Weeknd",145900,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"Watermelon Sugar","Harry Styles",138694,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,Treinstation,Boef,132344,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
16,"Rain On Me (with Ariana Grande)","Lady Gaga",128553,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
17,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,124179,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
18,"Break My Heart","Dua Lipa",121321,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
19,Gordelweg,Kevin,117037,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
20,Supalonely,BENEE,113616,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
21,"Stuck with U (with Justin Bieber)","Ariana Grande",112223,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
22,"Rover (feat. DTG)",S1mba,109749,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
23,"Weg Van Jou","Suzan & Freek",102818,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
24,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,102299,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
25,"Toosie Slide",Drake,98416,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
26,Doorheen,Bizzey,96983,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
27,"Savage Love (Laxed - Siren Beat)","Jawsh 685",95731,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
28,"Wat Is Je Naam","Yxng Le",95594,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
29,"Intentions (feat. Quavo)","Justin Bieber",95589,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
30,"Soldier On",DI-RECT,94040,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
31,"In Your Eyes","The Weeknd",94032,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
32,"Het Is Al Laat Toch",Racoon,93669,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
33,Secrets,Regard,93534,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
34,"Lose Somebody",Kygo,90410,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
35,"In Your Eyes (feat. Alida)","Robin Schulz",90179,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
36,"Jongen Van De Straat","Lil Kleine",89761,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
37,"Alleen Soms",Lijpe,89236,https://open.spotify.com/track/0vC6bkhlWhBNjP8CsuLL6n
38,"Loop Niet Weg","Kris Kross Amsterdam",86013,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
39,Kippen,Broederliefde,84476,https://open.spotify.com/track/4OGK7jK0Yq27VoMXAhGvIf
40,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",82145,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
41,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",81587,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
42,"Party Girl",StaySolidRocky,81385,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
43,"Waar Ga Je Heen","Emma Heesters",78413,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
44,"Dance Monkey","Tones And I",77447,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
45,"Mijn Story",Lijpe,75047,https://open.spotify.com/track/2D0mZzm2KYzxhSI8pgfL7z
46,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",74118,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
47,Salt,"Ava Max",73801,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
48,"Be Kind (with Halsey)",Marshmello,71456,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
49,"Don't Start Now","Dua Lipa",66159,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
50,"TKN (feat. Travis Scott)",ROSALÍA,65849,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
51,"Blueberry Faygo","Lil Mosey",65445,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
52,"Alles Of Niks",Lijpe,64858,https://open.spotify.com/track/3QNIVeU37soOx1RAcIzZCY
53,"Before You Go","Lewis Capaldi",63498,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
54,"Someone You Loved","Lewis Capaldi",60524,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"Love To Go","Lost Frequencies",60122,https://open.spotify.com/track/3ZjkQbe5JzzQbzRtkXyZNv
56,GOOBA,6ix9ine,59944,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
57,"Roller Coaster","Danny Vera",59147,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
58,"Rode Wijn",Maan,59096,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
59,"X (with KAROL G)","Jonas Brothers",58419,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
60,"Drown (feat. Clinton Kane)","Martin Garrix",58089,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
61,Afrika,Chivv,58073,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
62,Vastberaden,Lijpe,54873,https://open.spotify.com/track/1Opl9f8vUkITqvpgAqF5xW
63,"Alone, Pt. II","Alan Walker",53792,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
64,Underdog,"Alicia Keys",51767,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
65,Vliegen,"Bilal Wahib",51533,https://open.spotify.com/track/0cd6pOA7RQKKuvFQLMC4X7
