,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
117,"HIGHEST IN THE ROOM","Travis Scott",30391,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
118,"Lose Control",MEDUZA,30045,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
119,"BELIEVE IT",PARTYNEXTDOOR,30019,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
120,"SICKO MODE","Travis Scott",29983,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
121,Lippenstift,"Marco Borsato",29887,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
122,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,29848,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
123,"Die Young",Sheppard,29702,https://open.spotify.com/track/0XSTOKFdWPXlAEliq17XRw
124,Uncharted,Kensington,29334,https://open.spotify.com/track/1OJcaSbK9DBaxHExACplwA
125,"Out Of Town (feat. KM, NAVI & Quincy Promes)",Ocs,29314,https://open.spotify.com/track/7BuV6kuGMUDAmx0tl9qfP5
126,"We Komen Terug",Outsiders,29292,https://open.spotify.com/track/7fzc0VslkvObn5VfBw6cr7
127,"Don't Rush (feat. Headie One)","Young T & Bugsey",29010,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
128,"Lucid Dreams","Juice WRLD",28829,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
129,Nacht,"Kraantje Pappie",28812,https://open.spotify.com/track/06Wn0NldbOhwpKCsoTsUp7
130,"Kings & Queens","Ava Max",28754,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
131,"Als Het Avond Is","Suzan & Freek",28745,https://open.spotify.com/track/1MWpdDDf3Yk0w6o4oviMFY
132,"After Party","Don Toliver",28654,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
133,"everything i wanted","Billie Eilish",28523,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
134,"Give Me",Chivv,28493,https://open.spotify.com/track/4mFWKcImzYFoKRr7dNjFVY
135,"Go Crazy","Chris Brown",28194,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
136,"Higher Love",Kygo,28089,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
137,"Don't Call Me Up",Mabel,27959,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
138,"Het Spijt Me Niet","Selma Omari",27898,https://open.spotify.com/track/2XyB0yXTSQPw6rj9CpRomA
139,Savage,"Megan Thee Stallion",27891,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
140,"My Bébé","Bryan Mg",27685,https://open.spotify.com/track/56EJ7v1FPHJWvvU89flvpW
141,"Mucho Dinero",Chivv,27611,https://open.spotify.com/track/0GOqusaomQcXWjIzRd4sE1
142,"Deze Is Voor Mij","Suzan & Freek",27430,https://open.spotify.com/track/3eDGSll7NmfGQ8C5hen4gf
143,Shallow,"Lady Gaga",27291,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
144,"Boss Bitch","Doja Cat",27016,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
145,"Anderhalf (feat. Poke & Judeska)","Ali B",26954,https://open.spotify.com/track/4fmNSmnh5hFOHZ1vXOEgvN
146,"Jongens Uit De Cité",Spanker,26836,https://open.spotify.com/track/439RIQU0snxnCLlv69BmMa
147,Oceaan,Racoon,26478,https://open.spotify.com/track/7GWU6dQFjYF5YpsAUwZfGq
148,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",26444,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
149,"Zo Kan Het Dus Ook",Maan,26207,https://open.spotify.com/track/6u6UHWtW3XYWXJn3EdpzmZ
150,Memories,Boef,26128,https://open.spotify.com/track/7muicvRPVglfHRtBHpSFqH
151,"Chocolata Body",Chivv,25985,https://open.spotify.com/track/7wI7U5PSfUNXhePdSIu5iX
152,"Zolang Je Weet",Spanker,25962,https://open.spotify.com/track/77x3I35sEN3oA4A2EUPTNa
153,Bruises,"Lewis Capaldi",25958,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
154,"lovely (with Khalid)","Billie Eilish",25955,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
155,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",25830,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
156,"On The Low","Burna Boy",25763,https://open.spotify.com/track/1PoJXULCvl03b1fiZmMxmd
157,Dior,"Pop Smoke",25758,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
158,"SEASONS - SE1EP1: Lijpe",Lijpe,25528,https://open.spotify.com/track/0SrGp3u3FLih2g3wT6RXTf
159,Kalmeer,"Jonna Fraser",25471,https://open.spotify.com/track/5kxxqoghBwjT2tO19qMwpm
160,Marijuana,Josylvio,25399,https://open.spotify.com/track/6EFqESvZHB2jZVgeJyLYl6
161,Arcade,"Duncan Laurence",25248,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
162,Skechers,DripReport,25240,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
163,Africa,TOTO,25168,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
164,"Zoutelande (feat. Geike)",BLØF,25033,https://open.spotify.com/track/7MOX3ibncypw3xGb4HZVFA
165,Sterrenstof,"De Jeugd Van Tegenwoordig",24990,https://open.spotify.com/track/7D5vAulNfrQV6xEwzgH0OF
166,"Was Sorry Maar Genoeg","Tino Martin",24904,https://open.spotify.com/track/56oJRXiTIelk1eRDeJ4aqO
167,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",24865,https://open.spotify.com/track/4CNcRgjGw1v9VQaTaytdnD
168,"Deep End Freestyle","Sleepy Hallow",24685,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
169,"Forever Yours - Avicii Tribute",Kygo,24591,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
170,"HOUSE PARTY",Architrackz,24498,https://open.spotify.com/track/4SMBjuIWu3uJcx6t3VHrOO
171,Papa,"Yade Lauren",24208,https://open.spotify.com/track/2EB1mPFpCBEI2TF2sNqIPC
172,Joanne,"Lil Kleine",24083,https://open.spotify.com/track/4CVDlvgNCQG73T7KM5hbS0
173,IJskoud,Nielson,23967,https://open.spotify.com/track/2zVNIG9cfMyFxt8XqJ64s4
174,POSITIE,Caza,23955,https://open.spotify.com/track/5dVXY5359o7XBmfoNCBMxg
175,"Piece Of Your Heart",MEDUZA,23903,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
176,"Be Alright","Dean Lewis",23751,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
177,"X (with KAROL G)","Jonas Brothers",23737,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
178,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",23721,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
179,"Beautiful People (feat. Khalid)","Ed Sheeran",23585,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
180,"Post Malone (feat. RANI)","Sam Feldt",23423,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
181,"4 Life","Jonna Fraser",23400,https://open.spotify.com/track/4BV8ZyGLSNpt12q3OiZlOX
182,"Chicago Freestyle (feat. Giveon)",Drake,23362,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
183,"Verleden Tijd",Frenna,23272,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe
184,"De Toreador",Opgeblazen,23215,https://open.spotify.com/track/263LTQQjp6gLjxP2O7MFBD
185,Moment,"Kris Kross Amsterdam",23170,https://open.spotify.com/track/0J6sITdD8JMUBKaadJLV1U
186,Righteous,"Juice WRLD",22979,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
187,"Godzilla (feat. Juice WRLD)",Eminem,22784,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
188,Vliegen,"Bilal Wahib",22764,https://open.spotify.com/track/0cd6pOA7RQKKuvFQLMC4X7
189,"Ballin' (with Roddy Ricch)",Mustard,22699,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
190,"This City","Sam Fischer",22456,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
191,Daisies,"Katy Perry",22362,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
192,"Het Regent Zonnestralen","Acda en de Munnik",22341,https://open.spotify.com/track/2LGL71GENQR0oC9jMwTTZY
193,Legendary,Spanker,22246,https://open.spotify.com/track/2Y99pkUlw5GPHAadtxnUcY
194,"GUAP (feat. Dopebwoy)",Boef,22096,https://open.spotify.com/track/3J6KEr0wjZbKPpa70cXzHI
195,"Say You Won't Let Go","James Arthur",22062,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
196,Vroeger,Josylvio,21998,https://open.spotify.com/track/7KKHNdUNO1AqOxnFUHnfdf
197,"The Other Side (from Trolls World Tour)",SZA,21905,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
198,"BON VIBES","Chip Charlez",21895,https://open.spotify.com/track/2zlp91MvE7y89ptUqPfPA2
199,"Ring Ring",Equalz,21826,https://open.spotify.com/track/4ftFggEy27BIlkJY9F7Fk2
200,"IDK You Yet","Alexander 23",21568,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
