,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,212072,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Treinstation,Boef,198437,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
3,Gordelweg,Kevin,169706,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
4,"Roses - Imanbek Remix","SAINt JHN",161161,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"Blinding Lights","The Weeknd",147128,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Video Vixen","Bilal Wahib",141404,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
7,"ily (i love you baby) (feat. Emilee)","Surf Mesa",140469,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
8,"Breaking Me",Topic,138218,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"Rain On Me (with Ariana Grande)","Lady Gaga",123149,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
10,"Toosie Slide",Drake,122742,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
11,"Mijn Story",Lijpe,121070,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
12,"Stuck with U (with Justin Bieber)","Ariana Grande",116365,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
13,Supalonely,BENEE,112056,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
14,"Break My Heart","Dua Lipa",109625,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,102889,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,100111,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
17,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",98079,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
18,"Het Is Al Laat Toch",Racoon,93973,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
19,Doorheen,Bizzey,92023,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
20,"Intentions (feat. Quavo)","Justin Bieber",91318,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
21,"Soldier On",DI-RECT,88227,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
22,"Weg Van Jou","Suzan & Freek",87989,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
23,"Jongen Van De Straat","Lil Kleine",87570,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
24,"Watermelon Sugar","Harry Styles",83405,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
25,"In Your Eyes (feat. Alida)","Robin Schulz",83350,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
26,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",81086,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
27,"Wat Is Je Naam","Yxng Le",80594,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
28,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",79996,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
29,"Loop Niet Weg","Kris Kross Amsterdam",79889,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
30,"In Your Eyes","The Weeknd",75446,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
31,"Lose Somebody",Kygo,74613,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
32,MAMACITA,"Black Eyed Peas",72891,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
33,"Dance Monkey","Tones And I",71422,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
34,"Be Kind (with Halsey)",Marshmello,70754,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
35,"Never Seen the Rain","Tones And I",68438,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
36,Afrika,Chivv,68256,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
37,"Say So","Doja Cat",66347,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
38,"Before You Go","Lewis Capaldi",66249,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,"Don't Start Now","Dua Lipa",65416,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
40,"Blueberry Faygo","Lil Mosey",64500,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
41,"Rode Wijn",Maan,61807,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
42,GOOBA,6ix9ine,61561,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
43,"Busje (feat. Chivv & Lauwtje)",Zefanio,61001,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
44,"Alone, Pt. II","Alan Walker",60422,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
45,"Roller Coaster","Danny Vera",59090,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
46,"Drown (feat. Clinton Kane)","Martin Garrix",57846,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
47,"TKN (feat. Travis Scott)",ROSALÍA,57737,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
48,Underdog,"Alicia Keys",57469,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
49,"Party Girl",StaySolidRocky,56656,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
50,"Someone You Loved","Lewis Capaldi",55337,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
51,"Rover (feat. DTG)",S1mba,50473,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
52,"Nothing Really Matters",Tiësto,49908,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
53,"Ride It",Regard,49711,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
54,"THE SCOTTS","THE SCOTTS",49588,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
55,"Slapen Met Het Licht Aan",Tabitha,47975,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
56,"The Box","Roddy Ricch",47798,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
57,Smoorverliefd,Snelle,47749,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
58,A5,DODO,47428,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
59,Downfall,"Jonna Fraser",44410,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
60,"Hoe Het Danst","Marco Borsato",44257,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
61,Salt,"Ava Max",44102,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
62,Changes,"Ilse DeLange",43821,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
63,"Waar Ga Je Heen","Emma Heesters",43766,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
64,"Perfect (feat. Haris)","Lucas & Steve",43067,https://open.spotify.com/track/30cW9fD87IgbYFl8o0lUze
65,"Know Your Worth",Khalid,42348,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
66,Physical,"Dua Lipa",42291,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
67,Reünie,Snelle,42216,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
68,"Como Tu","Rolf Sanchez",42170,https://open.spotify.com/track/4aA39M2dMcegHXYQ4Kq5MP
69,"Niet Lief","Henkie T",41851,https://open.spotify.com/track/5JRzvKU4sHMjdqSj6a3R5y
70,"WHATS POPPIN","Jack Harlow",40639,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
71,Memories,"Maroon 5",40371,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
72,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,40215,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
73,"Sunday Best",Surfaces,40054,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
74,Levensstijl,Spanker,39876,https://open.spotify.com/track/6qbaiaT9AXWGCqocFtpJHL
75,"Someone Else","Duncan Laurence",39545,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
76,Circles,"Post Malone",39468,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
77,"Sour Candy (with BLACKPINK)","Lady Gaga",39060,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
78,Falling,"Trevor Daniel",38658,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
79,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",38570,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
80,Trouble,Chef'Special,38361,https://open.spotify.com/track/1dEeFAA7955dEhviWfLMqr
81,"What A Man Gotta Do","Jonas Brothers",38038,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
82,"2 Hearts (feat. Gia Koka)","Sam Feldt",37961,https://open.spotify.com/track/0EdgK7ASb4kfRkW8pVMN02
83,"Level of Concern","Twenty One Pilots",37938,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
84,DomDoen,"Henkie T",37862,https://open.spotify.com/track/5vJpSCkDDqLE6bNF4cRqRG
85,goosebumps,"Travis Scott",37807,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
86,"If the World Was Ending - feat. Julia Michaels","JP Saxe",37743,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
87,"Sinds Klein",Nass,37412,https://open.spotify.com/track/74gXJpVM2Rj4vEWV8ghQ5l
88,Rutte,SFB,36977,https://open.spotify.com/track/7AcvBD07VXwfomew5oHOBS
89,"Life Is Good (feat. Drake)",Future,36631,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
90,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",36586,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
91,Secrets,Regard,36292,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
92,"I’m Ready (with Demi Lovato)","Sam Smith",36190,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
93,Señorita,"Shawn Mendes",36119,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
94,"Ze Huilt Maar Ze Lacht",Maan,36081,https://open.spotify.com/track/7eTIikMQRihr1GaSK9MzFl
95,"Play Date","Melanie Martinez",35805,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
96,ROXANNE,"Arizona Zervas",35533,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
97,"Like It Is",Kygo,35073,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
98,Venus,Frenna,34741,https://open.spotify.com/track/0yq0Hg6IzgaT0Tm91op97y
99,"Higher Ground (feat. John Martin)","Martin Garrix",34414,https://open.spotify.com/track/0rohJsT6NWsThpukt0Xxdc
100,"Love To Go","Lost Frequencies",34396,https://open.spotify.com/track/3ZjkQbe5JzzQbzRtkXyZNv
101,"Adore You","Harry Styles",34086,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
102,Feestje,Fmg,33033,https://open.spotify.com/track/2ueVHF9lPkLB1SkkybBbjQ
103,"Zij weet het - Studio Versie","Tino Martin",32968,https://open.spotify.com/track/0rwf08N6Fm5K57S7e7FJty
104,"I Don't Care (with Justin Bieber)","Ed Sheeran",32572,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
105,"Ze Kent Mij",Snelle,32559,https://open.spotify.com/track/3BiBIgQFa8K4EOxisyhXX7
106,"3 Nights","Dominic Fike",32481,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
107,"Oeh Jij","Yxng Le",32354,https://open.spotify.com/track/0npxPWBoOOTuVZqhoEJVJk
108,Changes,2Pac,32310,https://open.spotify.com/track/1ofhfV90EnYhEr7Un2fWiv
109,"This Is America","Childish Gambino",31655,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
110,"Alleen Soms",Lijpe,31430,https://open.spotify.com/track/6TVwX7if0H49z7OeMpgavW
111,"Follow Your Dreams (with Jonna Fraser)",Emms,31310,https://open.spotify.com/track/253Amof9X18Z8PS9IbV2nQ
112,"Blauwe Dag","Suzan & Freek",31079,https://open.spotify.com/track/0N1sqwppd1BwhNdjcIDEG2
113,"bad guy","Billie Eilish",31050,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
114,Magisch,"Yade Lauren",31025,https://open.spotify.com/track/7G7fGz8Wx3ilNnUYEDw0cR
115,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",30585,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
116,Vandaan,"Lil Kleine",30446,https://open.spotify.com/track/7ua5ORSWsf8JOrcX6SJ9Ub
