,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nooit Thuis",Boef,286247,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,219807,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",189736,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,180865,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
5,"ily (i love you baby) (feat. Emilee)","Surf Mesa",160696,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
6,"Blinding Lights","The Weeknd",154186,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"Breaking Me",Topic,153816,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,Treinstation,Boef,152846,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
9,"Video Vixen","Bilal Wahib",152246,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
10,Kleur,Snelle,132891,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
11,"Rain On Me (with Ariana Grande)","Lady Gaga",132771,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Alleen Soms",Lijpe,129674,https://open.spotify.com/track/0vC6bkhlWhBNjP8CsuLL6n
13,MAMACITA,"Black Eyed Peas",129071,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
14,"Break My Heart","Dua Lipa",128068,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,Supalonely,BENEE,122296,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"Watermelon Sugar","Harry Styles",119290,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,"Stuck with U (with Justin Bieber)","Ariana Grande",118871,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
18,"Toosie Slide",Drake,116074,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
19,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,115946,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
20,"Alles Of Niks",Lijpe,114927,https://open.spotify.com/track/3QNIVeU37soOx1RAcIzZCY
21,Gordelweg,Kevin,110199,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
22,"Mijn Story",Lijpe,108133,https://open.spotify.com/track/2D0mZzm2KYzxhSI8pgfL7z
23,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,105898,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
24,"Soldier On",DI-RECT,105414,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
25,Vastberaden,Lijpe,104403,https://open.spotify.com/track/1Opl9f8vUkITqvpgAqF5xW
26,"Het Is Al Laat Toch",Racoon,103929,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
27,"Intentions (feat. Quavo)","Justin Bieber",103510,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
28,"Weg Van Jou","Suzan & Freek",102748,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
29,"In Your Eyes (feat. Alida)","Robin Schulz",96313,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
30,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",94389,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
31,"In Your Eyes","The Weeknd",94388,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
32,Secrets,Regard,93089,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
33,"Blauwe Lichten",Lijpe,92600,https://open.spotify.com/track/6Rr3po787cDfLhUZVdLqbu
34,"Wat Is Je Naam","Yxng Le",91351,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
35,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",90598,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
36,"Lose Somebody",Kygo,90559,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
37,"Jongen Van De Straat","Lil Kleine",90181,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
38,"Loop Niet Weg","Kris Kross Amsterdam",89814,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
39,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",89184,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
40,"De Prijs",Lijpe,85923,https://open.spotify.com/track/5hptdpE5bqoTXufUrkgt18
41,"Dance Monkey","Tones And I",84881,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
42,"Niet Genoeg",Lijpe,81523,https://open.spotify.com/track/0xElJecFqIhqjzSIe7W8cB
43,"Rover (feat. DTG)",S1mba,79961,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
44,"Nog Steeds",Lijpe,79578,https://open.spotify.com/track/6Q7vV4i8lXiEwhBJkykpBl
45,Doorheen,Bizzey,77305,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
46,Winterdagen,Lijpe,75536,https://open.spotify.com/track/26uLOAyrbSVFGs3C7wMuFH
47,"Allemaal Op Brieven",Lijpe,73782,https://open.spotify.com/track/7bWMBeaGqQ1Y7Gbn8vrlSh
48,"Roller Coaster","Danny Vera",72353,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
49,"Party Girl",StaySolidRocky,71107,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
50,Paranoia,Lijpe,70985,https://open.spotify.com/track/2QyI7NIW7K5ZpJyRkw48gA
51,"Be Kind (with Halsey)",Marshmello,69559,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
52,Salt,"Ava Max",68954,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
53,Onderweg,Lijpe,68887,https://open.spotify.com/track/64yPC4gllZY1Ebhuso7K1D
54,"Don't Start Now","Dua Lipa",68749,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
55,"Waar Ga Je Heen","Emma Heesters",66996,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
56,"Rode Wijn",Maan,64824,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
57,"Someone You Loved","Lewis Capaldi",62621,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
58,"Love To Go","Lost Frequencies",62359,https://open.spotify.com/track/3ZjkQbe5JzzQbzRtkXyZNv
59,"Busje (feat. Chivv & Lauwtje)",Zefanio,62021,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
60,"Drown (feat. Clinton Kane)","Martin Garrix",61721,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
61,"Blueberry Faygo","Lil Mosey",61213,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
62,"Never Seen the Rain","Tones And I",60211,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
63,"Alone, Pt. II","Alan Walker",60183,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
64,"Before You Go","Lewis Capaldi",59745,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
65,"Ride It",Regard,59304,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
66,"Say So","Doja Cat",57700,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
67,GOOBA,6ix9ine,57448,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
68,"TKN (feat. Travis Scott)",ROSALÍA,56440,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
69,Underdog,"Alicia Keys",56417,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
70,Afrika,Chivv,56154,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
71,"Nothing Really Matters",Tiësto,56121,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
72,"Hoe Het Danst","Marco Borsato",55468,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
73,Changes,"Ilse DeLange",55108,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
74,"Zij weet het - Studio Versie","Tino Martin",50424,https://open.spotify.com/track/0rwf08N6Fm5K57S7e7FJty
75,Downfall,"Jonna Fraser",50296,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
76,Smoorverliefd,Snelle,49041,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
77,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",48824,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
78,"The Box","Roddy Ricch",48145,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
79,"X (with KAROL G)","Jonas Brothers",48069,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
80,Physical,"Dua Lipa",46867,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
81,Reünie,Snelle,46759,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
82,"TROLLZ (with Nicki Minaj)",6ix9ine,46598,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
83,Señorita,"Shawn Mendes",46045,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
84,"THE SCOTTS","THE SCOTTS",46010,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
85,"2 Hearts (feat. Gia Koka)","Sam Feldt",45622,https://open.spotify.com/track/0EdgK7ASb4kfRkW8pVMN02
86,"Someone Else","Duncan Laurence",45288,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
87,Memories,"Maroon 5",44209,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
88,Trouble,Chef'Special,42541,https://open.spotify.com/track/1dEeFAA7955dEhviWfLMqr
89,"Slapen Met Het Licht Aan",Tabitha,42328,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
90,"De Toreador",Opgeblazen,42250,https://open.spotify.com/track/263LTQQjp6gLjxP2O7MFBD
91,DomDoen,"Henkie T",41707,https://open.spotify.com/track/5vJpSCkDDqLE6bNF4cRqRG
