,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nooit Thuis",Boef,389277,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,224280,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",185946,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Alleen Soms",Lijpe,185860,https://open.spotify.com/track/0vC6bkhlWhBNjP8CsuLL6n
5,"Alles Of Niks",Lijpe,179158,https://open.spotify.com/track/3QNIVeU37soOx1RAcIzZCY
6,Treinstation,Boef,178536,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
7,Vastberaden,Lijpe,173037,https://open.spotify.com/track/1Opl9f8vUkITqvpgAqF5xW
8,"Video Vixen","Bilal Wahib",163692,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
9,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,163245,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
10,"Blinding Lights","The Weeknd",156709,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Breaking Me",Topic,156041,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,"ily (i love you baby) (feat. Emilee)","Surf Mesa",155927,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
13,"Mijn Story",Lijpe,154726,https://open.spotify.com/track/2D0mZzm2KYzxhSI8pgfL7z
14,"Blauwe Lichten",Lijpe,149682,https://open.spotify.com/track/6Rr3po787cDfLhUZVdLqbu
15,Kleur,Snelle,148533,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
16,"Niet Genoeg",Lijpe,139464,https://open.spotify.com/track/0xElJecFqIhqjzSIe7W8cB
17,"De Prijs",Lijpe,138924,https://open.spotify.com/track/5hptdpE5bqoTXufUrkgt18
18,"Rain On Me (with Ariana Grande)","Lady Gaga",136459,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
19,"Nog Steeds",Lijpe,135440,https://open.spotify.com/track/6Q7vV4i8lXiEwhBJkykpBl
20,Gordelweg,Kevin,127812,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
21,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,125030,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
22,Winterdagen,Lijpe,124985,https://open.spotify.com/track/26uLOAyrbSVFGs3C7wMuFH
23,"Break My Heart","Dua Lipa",123784,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
24,"Stuck with U (with Justin Bieber)","Ariana Grande",123085,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
25,"Toosie Slide",Drake,120580,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
26,"Allemaal Op Brieven",Lijpe,119327,https://open.spotify.com/track/7bWMBeaGqQ1Y7Gbn8vrlSh
