,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,227914,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Treinstation,Boef,187223,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
3,"Roses - Imanbek Remix","SAINt JHN",180937,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Blinding Lights","The Weeknd",158651,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,Gordelweg,Kevin,157810,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
6,"Video Vixen","Bilal Wahib",154365,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
7,Kleur,Snelle,149637,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
8,"Breaking Me",Topic,148421,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"ily (i love you baby) (feat. Emilee)","Surf Mesa",148265,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
10,"Alleen Soms",Lijpe,133818,https://open.spotify.com/track/6TVwX7if0H49z7OeMpgavW
11,"Rain On Me (with Ariana Grande)","Lady Gaga",131788,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Toosie Slide",Drake,125516,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
13,"Stuck with U (with Justin Bieber)","Ariana Grande",120648,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
14,Supalonely,BENEE,118244,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,"Break My Heart","Dua Lipa",117514,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
16,"Het Is Al Laat Toch",Racoon,110946,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
17,"Soldier On",DI-RECT,109947,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
18,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,108484,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
19,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,108262,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",106775,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
21,"Weg Van Jou","Suzan & Freek",104143,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
22,"Mijn Story",Lijpe,102160,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
23,"Intentions (feat. Quavo)","Justin Bieber",100413,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,"Jongen Van De Straat","Lil Kleine",96950,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
25,"Watermelon Sugar","Harry Styles",96077,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
26,"Loop Niet Weg","Kris Kross Amsterdam",93060,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
27,"Wat Is Je Naam","Yxng Le",92760,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
28,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",92475,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
29,"In Your Eyes (feat. Alida)","Robin Schulz",90928,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
30,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",88767,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
31,"In Your Eyes","The Weeknd",87106,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
32,MAMACITA,"Black Eyed Peas",87095,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
33,"Dance Monkey","Tones And I",83735,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
34,Doorheen,Bizzey,83147,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
35,"Lose Somebody",Kygo,79822,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
36,"Roller Coaster","Danny Vera",79428,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
37,"Be Kind (with Halsey)",Marshmello,77614,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
38,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,71884,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
39,"Rode Wijn",Maan,70871,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
40,"Don't Start Now","Dua Lipa",70754,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"Never Seen the Rain","Tones And I",69481,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
42,"Someone You Loved","Lewis Capaldi",67379,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
43,"Before You Go","Lewis Capaldi",66979,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
44,"Busje (feat. Chivv & Lauwtje)",Zefanio,66535,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
45,"Blueberry Faygo","Lil Mosey",65077,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
46,Afrika,Chivv,65013,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
47,"Say So","Doja Cat",63657,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
48,"Alone, Pt. II","Alan Walker",63166,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
49,"Party Girl",StaySolidRocky,63117,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
50,"Drown (feat. Clinton Kane)","Martin Garrix",62546,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
51,GOOBA,6ix9ine,61648,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
52,Secrets,Regard,61148,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
53,Underdog,"Alicia Keys",59556,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
54,"TKN (feat. Travis Scott)",ROSALÍA,58947,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
55,"Rover (feat. DTG)",S1mba,56464,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
56,"Nothing Really Matters",Tiësto,56325,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
57,"Hoe Het Danst","Marco Borsato",54560,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
58,Smoorverliefd,Snelle,54035,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
59,"Ride It",Regard,52503,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
60,Changes,"Ilse DeLange",52185,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
61,Levensstijl,Spanker,50783,https://open.spotify.com/track/6qbaiaT9AXWGCqocFtpJHL
62,"The Box","Roddy Ricch",50668,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
63,"Waar Ga Je Heen","Emma Heesters",50054,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
64,"Slapen Met Het Licht Aan",Tabitha,49926,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
65,Reünie,Snelle,49782,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
66,Salt,"Ava Max",49716,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
67,A5,DODO,48224,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
68,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",48066,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
69,"Como Tu","Rolf Sanchez",47361,https://open.spotify.com/track/4aA39M2dMcegHXYQ4Kq5MP
70,Downfall,"Jonna Fraser",47213,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
71,"THE SCOTTS","THE SCOTTS",47171,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
72,"Someone Else","Duncan Laurence",45880,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
73,"Zij weet het - Studio Versie","Tino Martin",45593,https://open.spotify.com/track/0rwf08N6Fm5K57S7e7FJty
74,Physical,"Dua Lipa",45354,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
75,Memories,"Maroon 5",45338,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
76,"If the World Was Ending - feat. Julia Michaels","JP Saxe",43489,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
77,"Know Your Worth",Khalid,43331,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
78,"Ze Huilt Maar Ze Lacht",Maan,42983,https://open.spotify.com/track/7eTIikMQRihr1GaSK9MzFl
79,Señorita,"Shawn Mendes",42879,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
80,DomDoen,"Henkie T",41035,https://open.spotify.com/track/5vJpSCkDDqLE6bNF4cRqRG
81,Trouble,Chef'Special,40272,https://open.spotify.com/track/1dEeFAA7955dEhviWfLMqr
82,"WHATS POPPIN","Jack Harlow",40093,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
