,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nooit Thuis",Boef,256954,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,203529,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",152597,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,148763,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
5,Treinstation,Boef,141205,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
6,"Video Vixen","Bilal Wahib",136568,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
7,Kleur,Snelle,134738,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
8,"ily (i love you baby) (feat. Emilee)","Surf Mesa",132132,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
9,"Breaking Me",Topic,130249,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,"Blinding Lights","The Weeknd",128546,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Rain On Me (with Ariana Grande)","Lady Gaga",116790,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Watermelon Sugar","Harry Styles",112098,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"Alleen Soms",Lijpe,111823,https://open.spotify.com/track/0vC6bkhlWhBNjP8CsuLL6n
14,MAMACITA,"Black Eyed Peas",110315,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
15,"Break My Heart","Dua Lipa",109290,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
16,"Stuck with U (with Justin Bieber)","Ariana Grande",106771,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
17,Gordelweg,Kevin,101873,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
18,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,101520,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
19,Supalonely,BENEE,101423,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
20,"Toosie Slide",Drake,98378,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
21,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,96831,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,"Mijn Story",Lijpe,93145,https://open.spotify.com/track/2D0mZzm2KYzxhSI8pgfL7z
23,"Alles Of Niks",Lijpe,92384,https://open.spotify.com/track/3QNIVeU37soOx1RAcIzZCY
24,"Weg Van Jou","Suzan & Freek",91550,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
25,"Intentions (feat. Quavo)","Justin Bieber",87105,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
