,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,215447,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Treinstation,Boef,175806,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
3,"Roses - Imanbek Remix","SAINt JHN",157516,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,Kleur,Snelle,155457,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
5,"Video Vixen","Bilal Wahib",148874,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
6,Gordelweg,Kevin,143396,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
7,"Blinding Lights","The Weeknd",138336,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"Breaking Me",Topic,135945,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"ily (i love you baby) (feat. Emilee)","Surf Mesa",135023,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
10,"Alleen Soms",Lijpe,121592,https://open.spotify.com/track/6TVwX7if0H49z7OeMpgavW
11,"Rain On Me (with Ariana Grande)","Lady Gaga",120853,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Stuck with U (with Justin Bieber)","Ariana Grande",111305,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
13,"Toosie Slide",Drake,110702,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
14,"Break My Heart","Dua Lipa",105733,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,Supalonely,BENEE,104024,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,101780,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,100560,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
18,"Weg Van Jou","Suzan & Freek",97348,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
19,"Het Is Al Laat Toch",Racoon,92482,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
20,"Soldier On",DI-RECT,91347,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
21,"Watermelon Sugar","Harry Styles",91257,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
22,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",90735,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
23,"Mijn Story",Lijpe,90594,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
24,"Jongen Van De Straat","Lil Kleine",89517,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
25,"Intentions (feat. Quavo)","Justin Bieber",89364,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
26,"Wat Is Je Naam","Yxng Le",83169,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
27,"In Your Eyes (feat. Alida)","Robin Schulz",82553,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
28,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",81115,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
29,MAMACITA,"Black Eyed Peas",80747,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
30,"In Your Eyes","The Weeknd",78540,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
31,Doorheen,Bizzey,78199,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
32,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",77266,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
33,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,76654,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
34,"Loop Niet Weg","Kris Kross Amsterdam",76395,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
