,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nooit Thuis",Boef,234370,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,199280,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",148607,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,147622,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
5,Kleur,Snelle,136853,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
6,"Video Vixen","Bilal Wahib",134480,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
7,Treinstation,Boef,133075,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
8,"ily (i love you baby) (feat. Emilee)","Surf Mesa",129953,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
9,"Breaking Me",Topic,128168,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,"Blinding Lights","The Weeknd",126895,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Rain On Me (with Ariana Grande)","Lady Gaga",114939,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Break My Heart","Dua Lipa",111321,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
13,"Watermelon Sugar","Harry Styles",110341,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,MAMACITA,"Black Eyed Peas",108411,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
15,"Stuck with U (with Justin Bieber)","Ariana Grande",105925,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
16,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,101006,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
17,Supalonely,BENEE,99368,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
18,"Alleen Soms",Lijpe,97198,https://open.spotify.com/track/0vC6bkhlWhBNjP8CsuLL6n
19,Gordelweg,Kevin,97036,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
20,"Toosie Slide",Drake,96572,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
21,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,95506,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,"Weg Van Jou","Suzan & Freek",89770,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
23,"Intentions (feat. Quavo)","Justin Bieber",86534,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,"Het Is Al Laat Toch",Racoon,83619,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
25,"Mijn Story",Lijpe,83310,https://open.spotify.com/track/2D0mZzm2KYzxhSI8pgfL7z
26,"Soldier On",DI-RECT,83030,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
27,"In Your Eyes (feat. Alida)","Robin Schulz",82060,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
28,"In Your Eyes","The Weeknd",79881,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
29,"Rover (feat. DTG)",S1mba,79602,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
30,"Alles Of Niks",Lijpe,79540,https://open.spotify.com/track/3QNIVeU37soOx1RAcIzZCY
31,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",79373,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
32,"Jongen Van De Straat","Lil Kleine",79092,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
33,"Lose Somebody",Kygo,77504,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
34,"Wat Is Je Naam","Yxng Le",75603,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
35,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",74183,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
36,Secrets,Regard,73195,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
37,"Party Girl",StaySolidRocky,72772,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
38,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",69895,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
39,Doorheen,Bizzey,68954,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
40,"Loop Niet Weg","Kris Kross Amsterdam",67779,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
41,"Dance Monkey","Tones And I",67751,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
42,Vastberaden,Lijpe,67280,https://open.spotify.com/track/1Opl9f8vUkITqvpgAqF5xW
43,"Before You Go","Lewis Capaldi",63029,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
44,"Waar Ga Je Heen","Emma Heesters",62764,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
45,"Be Kind (with Halsey)",Marshmello,62037,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
46,"Blauwe Lichten",Lijpe,61609,https://open.spotify.com/track/6Rr3po787cDfLhUZVdLqbu
47,Salt,"Ava Max",60713,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
48,"Don't Start Now","Dua Lipa",58845,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
49,"De Prijs",Lijpe,56454,https://open.spotify.com/track/5hptdpE5bqoTXufUrkgt18
50,"Someone You Loved","Lewis Capaldi",55899,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
51,GOOBA,6ix9ine,54927,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
52,"Roller Coaster","Danny Vera",54627,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
53,"Never Seen the Rain","Tones And I",53625,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
54,"Blueberry Faygo","Lil Mosey",53579,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
55,"Rode Wijn",Maan,52814,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
56,"Drown (feat. Clinton Kane)","Martin Garrix",51472,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
57,"Niet Genoeg",Lijpe,51354,https://open.spotify.com/track/0xElJecFqIhqjzSIe7W8cB
58,"Busje (feat. Chivv & Lauwtje)",Zefanio,50855,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
59,"Nog Steeds",Lijpe,50569,https://open.spotify.com/track/6Q7vV4i8lXiEwhBJkykpBl
60,"Love To Go","Lost Frequencies",49999,https://open.spotify.com/track/3ZjkQbe5JzzQbzRtkXyZNv
61,"Allemaal Op Brieven",Lijpe,49425,https://open.spotify.com/track/7bWMBeaGqQ1Y7Gbn8vrlSh
62,"Alone, Pt. II","Alan Walker",48463,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
63,"TKN (feat. Travis Scott)",ROSALÍA,45984,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
64,Winterdagen,Lijpe,45636,https://open.spotify.com/track/26uLOAyrbSVFGs3C7wMuFH
65,Underdog,"Alicia Keys",45466,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
66,"Say So","Doja Cat",45179,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
67,Afrika,Chivv,45023,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
68,"The Box","Roddy Ricch",44388,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
69,Changes,"Ilse DeLange",43915,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
70,Smoorverliefd,Snelle,43722,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
71,"TROLLZ (with Nicki Minaj)",6ix9ine,42897,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
72,"Nothing Really Matters",Tiësto,42821,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
73,"Hoe Het Danst","Marco Borsato",42608,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
74,Paranoia,Lijpe,42299,https://open.spotify.com/track/2QyI7NIW7K5ZpJyRkw48gA
75,"Ride It",Regard,42270,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
76,"THE SCOTTS","THE SCOTTS",42178,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
77,"WHATS POPPIN","Jack Harlow",42020,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
78,Physical,"Dua Lipa",41346,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
79,Onderweg,Lijpe,40648,https://open.spotify.com/track/64yPC4gllZY1Ebhuso7K1D
80,Downfall,"Jonna Fraser",40589,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
81,"Savage Love (Laxed - Siren Beat)","Jawsh 685",40072,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
82,"X (with KAROL G)","Jonas Brothers",39858,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
83,"If the World Was Ending - feat. Julia Michaels","JP Saxe",38856,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
84,"Level of Concern","Twenty One Pilots",38816,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
85,"Someone Else","Duncan Laurence",38526,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
86,Reünie,Snelle,38263,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
87,Memories,"Maroon 5",37739,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
88,Magisch,"Yade Lauren",37694,https://open.spotify.com/track/7G7fGz8Wx3ilNnUYEDw0cR
89,"Slapen Met Het Licht Aan",Tabitha,36565,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
90,A5,DODO,36248,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
91,"Sunday Best",Surfaces,35797,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
92,"2 Hearts (feat. Gia Koka)","Sam Feldt",35792,https://open.spotify.com/track/0EdgK7ASb4kfRkW8pVMN02
93,"Play Date","Melanie Martinez",35732,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
94,Circles,"Post Malone",35696,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
95,Señorita,"Shawn Mendes",35501,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
