,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tigers,"Bilal Wahib",485852,https://open.spotify.com/track/7jnaow1bGpKO2VkgtYE8Vv
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,233503,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Nooit Thuis",Boef,232422,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
4,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,214555,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
5,"Vakantie (with Jonna Fraser)",Dopebwoy,197955,https://open.spotify.com/track/2sE0IOF0pCl7hd4pi5QpgI
6,"Roses - Imanbek Remix","SAINt JHN",174650,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,"Video Vixen","Bilal Wahib",170111,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
8,MAMACITA,"Black Eyed Peas",165048,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
9,Kleur,Snelle,161030,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
10,"Get It All (feat. Boef & Henkie T)","Bryan Mg",155688,https://open.spotify.com/track/6dLKeM6ypiRa5J09axUzvN
11,"ily (i love you baby) (feat. Emilee)","Surf Mesa",153271,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
12,"Breaking Me",Topic,151733,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
13,"Blinding Lights","The Weeknd",148161,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"Watermelon Sugar","Harry Styles",142561,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"Rain On Me (with Ariana Grande)","Lady Gaga",127921,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
