,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,214268,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Treinstation,Boef,168289,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
3,"Roses - Imanbek Remix","SAINt JHN",158958,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Video Vixen","Bilal Wahib",150796,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
5,Kleur,Snelle,149622,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
6,"Blinding Lights","The Weeknd",141615,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,Gordelweg,Kevin,140464,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
8,"Breaking Me",Topic,137084,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"ily (i love you baby) (feat. Emilee)","Surf Mesa",134546,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
10,"Rain On Me (with Ariana Grande)","Lady Gaga",120620,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
11,"Alleen Soms",Lijpe,113142,https://open.spotify.com/track/6TVwX7if0H49z7OeMpgavW
12,"Stuck with U (with Justin Bieber)","Ariana Grande",112638,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
13,"Toosie Slide",Drake,111302,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
14,"Break My Heart","Dua Lipa",106850,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,Supalonely,BENEE,105201,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,101631,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
17,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,101007,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
18,"Weg Van Jou","Suzan & Freek",97769,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
19,"Het Is Al Laat Toch",Racoon,93410,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
20,"Watermelon Sugar","Harry Styles",92154,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
21,"Soldier On",DI-RECT,91300,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
22,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",90956,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
23,"Intentions (feat. Quavo)","Justin Bieber",90056,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,"Jongen Van De Straat","Lil Kleine",89366,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
25,"Mijn Story",Lijpe,86933,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
26,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,84994,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
27,"Wat Is Je Naam","Yxng Le",83843,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
28,MAMACITA,"Black Eyed Peas",83485,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
29,"In Your Eyes (feat. Alida)","Robin Schulz",82846,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
