,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,187396,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Treinstation,Boef,153182,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
3,"Roses - Imanbek Remix","SAINt JHN",144004,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,Kleur,Snelle,139081,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
5,"Blinding Lights","The Weeknd",130402,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Video Vixen","Bilal Wahib",127060,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
7,Gordelweg,Kevin,125501,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
8,"ily (i love you baby) (feat. Emilee)","Surf Mesa",122559,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
9,"Breaking Me",Topic,120572,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,"Alleen Soms",Lijpe,114497,https://open.spotify.com/track/6TVwX7if0H49z7OeMpgavW
11,"Rain On Me (with Ariana Grande)","Lady Gaga",107493,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Toosie Slide",Drake,102195,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
13,"Stuck with U (with Justin Bieber)","Ariana Grande",100519,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
14,"Het Is Al Laat Toch",Racoon,100017,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
15,Supalonely,BENEE,96853,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"Break My Heart","Dua Lipa",96578,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
17,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,93998,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
18,"Soldier On",DI-RECT,87952,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
19,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",87513,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
20,"Weg Van Jou","Suzan & Freek",87295,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
21,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,86340,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
22,"Mijn Story",Lijpe,82581,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
23,"Intentions (feat. Quavo)","Justin Bieber",81802,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,"Watermelon Sugar","Harry Styles",80803,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
25,"Jongen Van De Straat","Lil Kleine",80126,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
26,"In Your Eyes (feat. Alida)","Robin Schulz",73929,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
27,"Wat Is Je Naam","Yxng Le",73734,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
28,"Before You Go","Lewis Capaldi",73502,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
29,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",73336,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
30,"Roller Coaster","Danny Vera",73131,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
31,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",73086,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
32,"Loop Niet Weg","Kris Kross Amsterdam",71403,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
33,"In Your Eyes","The Weeknd",71074,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
34,"Dance Monkey","Tones And I",68858,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
35,MAMACITA,"Black Eyed Peas",68580,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
36,"Lose Somebody",Kygo,68243,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
37,Doorheen,Bizzey,67665,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
38,"Be Kind (with Halsey)",Marshmello,63737,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
39,"Don't Start Now","Dua Lipa",59659,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
40,"Rode Wijn",Maan,58624,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
41,"Someone You Loved","Lewis Capaldi",57389,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
42,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,57093,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
43,"Party Girl",StaySolidRocky,57058,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
44,"Never Seen the Rain","Tones And I",56929,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
45,"Blueberry Faygo","Lil Mosey",56319,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
46,"If the World Was Ending - feat. Julia Michaels","JP Saxe",55998,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
47,"Busje (feat. Chivv & Lauwtje)",Zefanio,53438,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
48,Afrika,Chivv,52681,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
49,"Say So","Doja Cat",52280,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
50,"Drown (feat. Clinton Kane)","Martin Garrix",51092,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
51,"Rover (feat. DTG)",S1mba,50899,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
52,"Alone, Pt. II","Alan Walker",50872,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
53,GOOBA,6ix9ine,49910,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
54,Secrets,Regard,49039,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
55,Smoorverliefd,Snelle,46409,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
56,Underdog,"Alicia Keys",46168,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
57,"Hoe Het Danst","Marco Borsato",45611,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
58,"TKN (feat. Travis Scott)",ROSALÍA,45368,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
59,"Nothing Really Matters",Tiësto,43993,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
60,"The Box","Roddy Ricch",42779,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
61,"Ride It",Regard,42571,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
62,Changes,"Ilse DeLange",42188,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
63,Reünie,Snelle,41674,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
64,Salt,"Ava Max",41444,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
65,Levensstijl,Spanker,41236,https://open.spotify.com/track/6qbaiaT9AXWGCqocFtpJHL
66,"Slapen Met Het Licht Aan",Tabitha,40886,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
67,A5,DODO,40198,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
68,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",40151,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
69,Memories,"Maroon 5",39995,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
70,"THE SCOTTS","THE SCOTTS",39908,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
71,"Waar Ga Je Heen","Emma Heesters",39512,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
72,"Como Tu","Rolf Sanchez",38375,https://open.spotify.com/track/4aA39M2dMcegHXYQ4Kq5MP
73,"Someone Else","Duncan Laurence",38077,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
74,Physical,"Dua Lipa",38059,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
75,Downfall,"Jonna Fraser",37945,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
76,Señorita,"Shawn Mendes",37278,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
77,"Ze Huilt Maar Ze Lacht",Maan,37082,https://open.spotify.com/track/7eTIikMQRihr1GaSK9MzFl
78,"Know Your Worth",Khalid,36103,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
79,"Sunday Best",Surfaces,35417,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
80,Magisch,"Yade Lauren",35293,https://open.spotify.com/track/7G7fGz8Wx3ilNnUYEDw0cR
81,Falling,"Trevor Daniel",34880,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
82,Circles,"Post Malone",34533,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
