,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,230803,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Treinstation,Boef,214139,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
3,Gordelweg,Kevin,180299,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
4,"Roses - Imanbek Remix","SAINt JHN",173494,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"Blinding Lights","The Weeknd",154227,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"ily (i love you baby) (feat. Emilee)","Surf Mesa",152488,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
7,"Breaking Me",Topic,148385,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,"Video Vixen","Bilal Wahib",145273,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
9,"Rain On Me (with Ariana Grande)","Lady Gaga",135873,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
10,"Toosie Slide",Drake,129927,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
11,"Mijn Story",Lijpe,126190,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
12,"Stuck with U (with Justin Bieber)","Ariana Grande",123276,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
13,Supalonely,BENEE,123111,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
14,"Break My Heart","Dua Lipa",119387,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,105774,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,104614,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
17,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",97480,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
18,Doorheen,Bizzey,95624,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
19,"Intentions (feat. Quavo)","Justin Bieber",95152,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
20,"Het Is Al Laat Toch",Racoon,91414,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
21,"Jongen Van De Straat","Lil Kleine",88089,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
22,"Weg Van Jou","Suzan & Freek",86678,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
23,"Watermelon Sugar","Harry Styles",85746,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
24,"In Your Eyes (feat. Alida)","Robin Schulz",85439,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
25,"Soldier On",DI-RECT,85250,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
26,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",82866,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
