,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,217557,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,Treinstation,Boef,162850,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
3,"Roses - Imanbek Remix","SAINt JHN",162304,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Video Vixen","Bilal Wahib",150045,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
5,"Blinding Lights","The Weeknd",145078,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Breaking Me",Topic,139628,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
7,Kleur,Snelle,135741,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
8,"ily (i love you baby) (feat. Emilee)","Surf Mesa",134932,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
9,Gordelweg,Kevin,133536,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
10,"Rain On Me (with Ariana Grande)","Lady Gaga",122145,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
11,"Alleen Soms",Lijpe,115950,https://open.spotify.com/track/6TVwX7if0H49z7OeMpgavW
12,"Stuck with U (with Justin Bieber)","Ariana Grande",113976,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
13,"Toosie Slide",Drake,112461,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
14,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,111253,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
15,"Break My Heart","Dua Lipa",108101,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
16,Supalonely,BENEE,105940,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,104463,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
18,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,102576,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
19,"Watermelon Sugar","Harry Styles",100606,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"Weg Van Jou","Suzan & Freek",99148,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
21,"Het Is Al Laat Toch",Racoon,94187,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
22,"Mijn Story",Lijpe,94136,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
23,"Intentions (feat. Quavo)","Justin Bieber",93158,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,"Soldier On",DI-RECT,91980,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
25,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",91190,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
26,MAMACITA,"Black Eyed Peas",90856,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
27,"Jongen Van De Straat","Lil Kleine",88900,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
28,"Wat Is Je Naam","Yxng Le",87032,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
29,"In Your Eyes (feat. Alida)","Robin Schulz",83633,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
30,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",82767,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
31,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",82196,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
32,"In Your Eyes","The Weeknd",80850,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
33,"Lose Somebody",Kygo,78762,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
34,"Loop Niet Weg","Kris Kross Amsterdam",78729,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
35,"Party Girl",StaySolidRocky,72892,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
36,"Be Kind (with Halsey)",Marshmello,72255,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
37,Doorheen,Bizzey,72216,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
38,"Dance Monkey","Tones And I",70913,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,"Rover (feat. DTG)",S1mba,70602,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
40,Secrets,Regard,69097,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
41,"Before You Go","Lewis Capaldi",66346,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
42,"Rode Wijn",Maan,64781,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
43,"Never Seen the Rain","Tones And I",64757,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
44,"Blueberry Faygo","Lil Mosey",64409,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
45,"Someone You Loved","Lewis Capaldi",63673,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
46,"Don't Start Now","Dua Lipa",63604,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
47,"Roller Coaster","Danny Vera",62908,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
48,"Busje (feat. Chivv & Lauwtje)",Zefanio,61469,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
49,"Drown (feat. Clinton Kane)","Martin Garrix",61142,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
50,"Nooit Thuis",Boef,60416,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
51,Afrika,Chivv,59176,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
52,GOOBA,6ix9ine,54203,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
53,"Alone, Pt. II","Alan Walker",53015,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
54,Underdog,"Alicia Keys",52328,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
55,Salt,"Ava Max",52185,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
56,"Say So","Doja Cat",50193,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
57,"TKN (feat. Travis Scott)",ROSALÍA,49700,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
58,"Nothing Really Matters",Tiësto,48996,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
59,Smoorverliefd,Snelle,48253,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
60,"Ride It",Regard,46988,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
61,"The Box","Roddy Ricch",46879,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
62,"THE SCOTTS","THE SCOTTS",46785,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
63,"Slapen Met Het Licht Aan",Tabitha,46107,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
64,"Waar Ga Je Heen","Emma Heesters",46032,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
65,Changes,"Ilse DeLange",45991,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
66,"Hoe Het Danst","Marco Borsato",45529,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
67,Downfall,"Jonna Fraser",45235,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
68,"Como Tu","Rolf Sanchez",43830,https://open.spotify.com/track/4aA39M2dMcegHXYQ4Kq5MP
69,"Know Your Worth",Khalid,43681,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
70,Levensstijl,Spanker,43648,https://open.spotify.com/track/0kPlVNSLACzO9gXxGym1ZV
71,"If the World Was Ending - feat. Julia Michaels","JP Saxe",43235,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
72,A5,DODO,43126,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
73,Reünie,Snelle,43017,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
74,"WHATS POPPIN","Jack Harlow",42628,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
75,Memories,"Maroon 5",41684,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
76,Physical,"Dua Lipa",41558,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
77,"Someone Else","Duncan Laurence",40833,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
78,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",38713,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
79,DomDoen,"Henkie T",38332,https://open.spotify.com/track/5vJpSCkDDqLE6bNF4cRqRG
80,Señorita,"Shawn Mendes",38091,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
81,"Love To Go","Lost Frequencies",37831,https://open.spotify.com/track/3ZjkQbe5JzzQbzRtkXyZNv
82,"Ze Huilt Maar Ze Lacht",Maan,37827,https://open.spotify.com/track/7eTIikMQRihr1GaSK9MzFl
83,Falling,"Trevor Daniel",37822,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
84,Circles,"Post Malone",37775,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
85,Trouble,Chef'Special,37745,https://open.spotify.com/track/1dEeFAA7955dEhviWfLMqr
86,"Sunday Best",Surfaces,37698,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
87,Venus,Frenna,37675,https://open.spotify.com/track/0yq0Hg6IzgaT0Tm91op97y
88,"What A Man Gotta Do","Jonas Brothers",37593,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
89,Magisch,"Yade Lauren",37587,https://open.spotify.com/track/7G7fGz8Wx3ilNnUYEDw0cR
90,"X (with KAROL G)","Jonas Brothers",37400,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
91,"2 Hearts (feat. Gia Koka)","Sam Feldt",37207,https://open.spotify.com/track/0EdgK7ASb4kfRkW8pVMN02
92,"Paper Loving","DJ Nazil",37144,https://open.spotify.com/track/3NbtfbmjixJ2QJEKA0ORX1
93,"Life Is Good (feat. Drake)",Future,37023,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
94,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",36666,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
95,"Higher Ground (feat. John Martin)","Martin Garrix",36496,https://open.spotify.com/track/0rohJsT6NWsThpukt0Xxdc
96,goosebumps,"Travis Scott",36479,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
97,"Niet Lief","Henkie T",36385,https://open.spotify.com/track/5JRzvKU4sHMjdqSj6a3R5y
98,"Hoe We Rocken","ADF Samski",36376,https://open.spotify.com/track/0NQugujlh3DBhhergbaQnu
99,"Adore You","Harry Styles",35617,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
100,"Sinds Klein",Nass,35434,https://open.spotify.com/track/74gXJpVM2Rj4vEWV8ghQ5l
101,Feestje,Fmg,35419,https://open.spotify.com/track/2ueVHF9lPkLB1SkkybBbjQ
102,"Level of Concern","Twenty One Pilots",35248,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
103,"I’m Ready (with Demi Lovato)","Sam Smith",34942,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
104,"Play Date","Melanie Martinez",34581,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
105,"Zij weet het - Studio Versie","Tino Martin",34553,https://open.spotify.com/track/0rwf08N6Fm5K57S7e7FJty
106,ROXANNE,"Arizona Zervas",34340,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
107,"Ze Kent Mij",Snelle,34313,https://open.spotify.com/track/3BiBIgQFa8K4EOxisyhXX7
108,"Like It Is",Kygo,34145,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
109,Vastberaden,Lijpe,33673,https://open.spotify.com/track/1Opl9f8vUkITqvpgAqF5xW
110,"I Don't Care (with Justin Bieber)","Ed Sheeran",33668,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
111,"3 Nights","Dominic Fike",32879,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
112,"Blauwe Dag","Suzan & Freek",32492,https://open.spotify.com/track/0N1sqwppd1BwhNdjcIDEG2
113,"bad guy","Billie Eilish",32298,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
114,Lippenstift,"Marco Borsato",31953,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
115,Emotieloos,"Famke Louise",31879,https://open.spotify.com/track/4R876cN0Dx7fGPZMGnwwBq
116,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,31457,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
117,"Perfect (feat. Haris)","Lucas & Steve",31115,https://open.spotify.com/track/30cW9fD87IgbYFl8o0lUze
118,"Lose Control",MEDUZA,31044,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
119,"BELIEVE IT",PARTYNEXTDOOR,30931,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
120,Uncharted,Kensington,30883,https://open.spotify.com/track/1OJcaSbK9DBaxHExACplwA
121,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",30680,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
122,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",30668,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
123,"HIGHEST IN THE ROOM","Travis Scott",30496,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
124,Nacht,"Kraantje Pappie",30359,https://open.spotify.com/track/06Wn0NldbOhwpKCsoTsUp7
125,"Kings & Queens","Ava Max",30065,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
126,"Go Crazy","Chris Brown",30049,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
127,"Als Het Avond Is","Suzan & Freek",29734,https://open.spotify.com/track/1MWpdDDf3Yk0w6o4oviMFY
128,Shallow,"Lady Gaga",29704,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
129,"Lucid Dreams","Juice WRLD",29589,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
130,Vandaan,"Lil Kleine",29527,https://open.spotify.com/track/7ua5ORSWsf8JOrcX6SJ9Ub
131,"everything i wanted","Billie Eilish",29474,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
132,"Don't Call Me Up",Mabel,29415,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
133,"Die Young",Sheppard,29263,https://open.spotify.com/track/0XSTOKFdWPXlAEliq17XRw
134,"Alles Of Niks",Lijpe,29218,https://open.spotify.com/track/3QNIVeU37soOx1RAcIzZCY
135,"Oeh Jij","Yxng Le",28890,https://open.spotify.com/track/0npxPWBoOOTuVZqhoEJVJk
136,Dior,"Pop Smoke",28571,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
137,Oceaan,Racoon,28544,https://open.spotify.com/track/7GWU6dQFjYF5YpsAUwZfGq
138,"After Party","Don Toliver",28522,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
139,"SICKO MODE","Travis Scott",28369,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
140,"My Bébé","Bryan Mg",28232,https://open.spotify.com/track/56EJ7v1FPHJWvvU89flvpW
141,"Higher Love",Kygo,28170,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
142,Rutte,SFB,28108,https://open.spotify.com/track/7AcvBD07VXwfomew5oHOBS
143,"Deze Is Voor Mij","Suzan & Freek",28106,https://open.spotify.com/track/3eDGSll7NmfGQ8C5hen4gf
144,"Mucho Dinero",Chivv,28060,https://open.spotify.com/track/0GOqusaomQcXWjIzRd4sE1
145,Bruises,"Lewis Capaldi",27932,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
146,"Out Of Town (feat. KM, NAVI & Quincy Promes)",Ocs,27889,https://open.spotify.com/track/7BuV6kuGMUDAmx0tl9qfP5
147,"Zo Kan Het Dus Ook",Maan,27781,https://open.spotify.com/track/6u6UHWtW3XYWXJn3EdpzmZ
148,"Don't Rush (feat. Headie One)","Young T & Bugsey",27398,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
149,"On The Low","Burna Boy",27327,https://open.spotify.com/track/1PoJXULCvl03b1fiZmMxmd
150,"Sour Candy (with BLACKPINK)","Lady Gaga",27173,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
151,"lovely (with Khalid)","Billie Eilish",27168,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
152,Papa,"Yade Lauren",26999,https://open.spotify.com/track/2EB1mPFpCBEI2TF2sNqIPC
153,"Zoutelande (feat. Geike)",BLØF,26970,https://open.spotify.com/track/7MOX3ibncypw3xGb4HZVFA
154,Africa,TOTO,26928,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
155,Memories,Boef,26641,https://open.spotify.com/track/7muicvRPVglfHRtBHpSFqH
156,"Chicago Freestyle (feat. Giveon)",Drake,26421,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
157,Marijuana,Josylvio,26411,https://open.spotify.com/track/6EFqESvZHB2jZVgeJyLYl6
158,Savage,"Megan Thee Stallion",26399,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
